Year,Net worth at current prices ,Stock market value at current prices 
1900,27351.5659803933,21915.7180042017
1901,28084.2077762696,26390.7088296293
1902,30204.2625103738,30097.135905155
1903,32086.590747829,24790.7193294017
1904,32781.8020271974,33587.4683137827
1905,34917.5989844706,39030.33823285
1906,38282.2625558072,39109.1513739771
1907,40899.8186915199,26219.642073145
1908,40752.3768027048,37133.3530220275
1909,41792.3232326133,41449.3154406234
1910,43931.4267446459,38253.3780102135
1911,44375.4216791193,38452.2394825536
1912,46117.8541244212,40778.5774275442
1913,49330.4743642738,38713.6492127012
1914,50138.6336831497,33340.4905924575
1915,56503.2091722713,45849.7143179504
1916,73214.0507682486,47361.2123292984
1917,98245.8401196014,33036.9504982873
1918,118806.132768023,39572.0917275605
1919,138512.381534387,46485.8972900748
1920,142890.564289928,38673.3962207197
1921,119976.253762683,41629.3783312238
1922,116982.387892362,46829.5032006819
1923,127892.188037618,51007.8937675632
1924,128826.331378498,59039.6455359797
1925,132637.488908898,74751.6382062557
1926,134855.685018,78858.6803014824
1927,135597.937978086,100323.792295697
1928,136767.659110425,133065.965540097
1929,139410.44008567,188509.915093963
1930,124653.579714309,90931.4049521727
1931,111690.377239232,50348.0353031421
1932,102052.867774629,43922.0295511697
1933,97900.7870178644,59692.0623127051
1934,97628.5789481263,55819.2849970249
1935,99091.4871033507,77456.8959866304
1936,106937.395817393,104704.661719537
1937,117459.39376531,66193.8463712567
1938,116970.080413437,76882.0115116752
1939,119597.281462849,75613.6896877076
1940,130832.929256874,64183.8388850376
1941,155704.926666545,55101.1189511264
1942,172300.598952741,64315.892791645
1943,178802.16488975,77863.8349173932
1944,187379.093209438,89277.9019129585
1945,208987,114321.463397907
1946,225051,99173.2894021739
1947,261631,95830.9550618045
1948,284791,95467.8087811131
1949,293929,104836.157688608
1950,317050,125747.946149029
1951,351535,148218.175729708
