Table B.103 Balance Sheet of Nonfinancial Corporate Business from Z.1 Federal Accounts of the United States,,,,,,,,,,,,,,
,,Date conversions,,,Line 40/(Line 44/100) - net worth (Millions of dollars),Line 42 - corporate equities (Millions of dollars),,,MS index (Q) scaled by running geometric mean,,Expected Q,,,Federal funds rate
date,,Month,Day,Date,FL102090005.Q,LM103164103.Q,MS Index (Q),ln(Q),exp[ln(Q) - Avg(ln(Q))],MSI/GEOMEAN,,,Date,
1900,Q1,3,31,3/31/00,27384.516975879,20049.4787139739,0.732146516647856,-0.311774625695042,1.0654645168332,1.0654645168332,1,,1954-07-01,0.80
,Q2,6,30,6/30/00,27571.6576588778,18768.3618632407,0.680712131836494,-0.384615776097814,0.990614045355773,0.990614045355773,1,,1954-08-01,1.22
,Q3,9,30,9/30/00,27758.7983418766,18576.1943356308,0.66920023362852,-0.40167196075339,0.973861225007532,0.973861225007532,1,,1954-09-01,1.07
,Q4,12,31,12/31/00,27945.9390248755,22003.181911342,0.787348097043951,-0.239084819531129,1.14579724238443,1.14579724238443,1,,1954-10-01,0.85
1901,Q1,3,31,3/31/01,28133.0797078743,25029.5850151061,0.889685213101659,-0.116887571964328,1.29472449046279,1.2947244904628,1,,1954-11-01,0.83
,Q2,6,30,6/30/01,28320.2203908731,28329.0908959257,1.00031322161093,0.000313172567282035,1.45571715375404,1.45571715375405,1,,1954-12-01,1.28
,Q3,9,30,9/30/01,28507.3610738719,26662.6737844007,0.935290843488073,-0.0668977355092871,1.36109260099757,1.36109260099757,1,,1955-01-01,1.39
,Q4,12,31,12/31/01,28694.5017568708,26496.0320732482,0.923383590966301,-0.0797105393007332,1.34376443680305,1.34376443680305,1,,1955-02-01,1.29
1902,Q1,3,31,3/31/02,29236.0330934234,30780.3055780963,1.05282086252051,0.0514730976164656,1.53212949333318,1.53212949333318,1,,1955-03-01,1.35
,Q2,6,30,6/30/02,29777.564429976,31568.5816965597,1.06014653316578,0.0584071374055099,1.54279025857219,1.54279025857219,1,,1955-04-01,1.43
,Q3,9,30,9/30/02,30319.0957665285,33220.2078495307,1.09568596983703,0.0913806235986939,1.59450942660816,1.59450942660816,1,,1955-05-01,1.43
,Q4,12,31,12/31/02,30860.6271030811,30217.2512077653,0.979152209280557,-0.0210681742969053,1.42492235071174,1.42492235071174,1,,1955-06-01,1.64
1903,Q1,3,31,3/31/03,31341.4353151816,30610.1110650266,0.976665897946264,-0.02361065272518,1.42130411796152,1.42130411796153,1,,1955-07-01,1.68
,Q2,6,30,6/30/03,31822.2435272821,27200.5689909518,0.854765911386229,-0.156927635384477,1.24390778085018,1.24390778085018,1,,1955-08-01,1.96
,Q3,9,30,9/30/03,32303.0517393825,24510.8191325151,0.758777199450557,-0.276047089540159,1.1042191198261,1.1042191198261,1,,1955-09-01,2.18
,Q4,12,31,12/31/03,32783.859951483,24889.6571407456,0.759204595724235,-0.275483978327192,1.10484109309767,1.10484109309767,1,,1955-10-01,2.24
1904,Q1,3,31,3/31/04,32961.4396560286,26486.7158685432,0.803566717502244,-0.218695063645889,1.16939957363557,1.16939957363557,1,,1955-11-01,2.35
,Q2,6,30,6/30/04,33139.0193605743,26609.3395531198,0.80296098274945,-0.21944915556899,1.1685180712709,1.1685180712709,1,,1955-12-01,2.48
,Q3,9,30,9/30/04,33316.5990651199,29920.1790366877,0.898056220510574,-0.10752260628042,1.30690649387542,1.30690649387542,1,,1956-01-01,2.45
,Q4,12,31,12/31/04,33494.1787696655,33721.513258562,1.00678728355933,0.00676435364634733,1.46513860578441,1.46513860578442,1,,1956-02-01,2.50
1905,Q1,3,31,3/31/05,34039.7311850214,37173.4017246644,1.09205920348225,0.0880650914961846,1.58923153376294,1.58923153376294,1,,1956-03-01,2.50
,Q2,6,30,6/30/05,34585.2836003772,35325.0005339352,1.02138819915734,0.0211626815689513,1.48638675370183,1.48638675370183,1,,1956-04-01,2.62
